magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
36.0 5.26826233801 11.1244956642 10.9844688993 42.8266111805 23.0309197432 38.8999298261 56.5086945924 54.5896517356 17.2086568075 51.6166506194 207.279119146 27.6259306088 30.1898458008 122.442942672 27.2824336273 20.1774555898 28.5652935614 15.1797991795 27.0129690104 35.5361202382 16.9813547926 61.8665769549 39.6058975495 12.1709060243 80.9637105738
37.0 4.99476516488 10.5546588368 10.4233389221 40.5439350833 21.857496522 36.9384599605 53.5473280351 51.7569969404 16.3189931657 48.8751473307 196.036474712 26.1800224826 28.6576977342 115.794990944 25.8813823284 19.1462966608 27.054992625 14.4245904399 25.6187292795 33.6928709462 16.1030376475 58.5730931348 37.8637254193 11.5585853544 76.8177434735
38.0 4.74176016448 10.0266653416 9.90358376817 38.4374024202 20.7701980881 35.122584364 50.8095062353 49.1384037966 15.4948251302 46.3468308547 185.683019064 24.8430573601 27.237762217 109.669905553 24.5847892927 18.191367645 25.6609075282 13.7232162005 24.3303388732 31.9884699539 15.2903677147 55.5349953622 36.2379342604 10.9906592779 72.9853202772
39.0 4.50721810838 9.53644739033 9.4211551708 36.4892854343 19.7606683095 33.438042313 48.2731971752 46.7127698552 14.7298019235 44.0100676296 176.128130064 23.6042633501 25.9191913653 104.014831486 23.3823880707 17.3052260951 24.3713702376 13.0705678856 23.1372168104 30.4091764833 14.5368754119 52.7264957265 34.7179315693 10.4628446634 69.4353867518
40.0 4.28935863405 9.08042864536 8.97249723277 34.6840407252 18.8215565045 31.8722961112 45.9190331745 44.4615391083 14.0183359511 41.8459081571 167.292370966 22.454180893 24.6924360293 98.7833765286 22.2651584098 16.4813290865 23.1761463725 12.4621428227 22.030083932 28.9429242373 13.8368793153 50.1249873169 33.2943409099 9.97137368355 66.1406577534
41.0 4.08661410711 8.65545370637 8.55447533959 33.0079930224 17.9463739625 30.4142852801 43.7299315111 42.3683409179 13.3554940146 39.8376963151 159.10588133 21.3844740114 23.5490615361 93.9346908305 21.225147435 15.7139044685 22.066228321 11.8939585295 21.0007741481 27.5790806784 13.1853725828 47.7105840111 31.9588346606 9.51292004075 63.0770795888
42.0 3.89759950493 8.25872923283 8.1643168693 31.4490712336 17.1293739948 29.0542209286 41.690776843 40.4186874292 12.7369063523 37.9707435266 151.50703074 20.3877726652 22.4815934643 89.4326952449 20.2553202514 14.9978432702 21.0336624365 11.3624809882 20.042076991 26.3082459335 12.5779281514 45.4657361964 30.7039933701 9.08453735373 60.2233799685
43.0 3.72108719606 7.88777454422 7.7995615004 29.9965871035 16.3654511821 27.7834129383 39.7881541541 38.5997188679 12.1586902235 36.2320557551 144.4412875 19.4575404636 21.4833879541 85.2454316695 19.3494345392 14.3286093619 20.0714040382 10.8645643362 19.1476056601 25.1220840157 12.0106192257 43.3749084233 29.5231869458 8.68360745124 57.5606895882
44.0 3.55598572209 7.54037998262 7.45801937164 28.6410487853 15.6500563635 26.5941240902 38.0101232151 36.8999882377 11.6173854226 34.6101037524 137.860264071 18.587963161 20.548522165 81.3445138943 18.5019348167 13.7021632612 19.1731952086 10.3973999256 18.3116859369 24.0131805392 11.4799522911 41.4243078313 28.4104738472 8.30779678001 55.0722225766
45.0 3.40132186836 7.21457166523 7.13773569836 27.3740031592 14.9791246013 25.4794464181 36.3460273216 35.3092785902 11.1098996267 33.0946288923 131.720908456 17.7738542687 19.6717013599 77.7046616254 17.7078629066 13.1148975963 18.3334613771 9.95847311037 17.5292622669 22.974922262 10.9828104335 39.6016544023 27.3605152013 7.95501949341 52.743005556
46.0 3.25622545062 6.90858152264 6.83696072419 26.1879019326 14.3490138937 24.4331959866 34.7863304669 33.8184473459 10.6334618896 31.6764784233 125.984816643 17.0105748355 18.848179778 74.3033036343 16.962781817 12.5635822197 17.5472234546 9.54552643884 16.7958180366 22.001394697 10.5164051853 37.8959858311 26.3685013428 7.62340606687 50.5596470284
47.0 3.11991635489 6.6208217299 6.55412410212 25.0759875007 13.756452827 23.4498230076 33.3224782021 32.4192931753 10.1855829134 30.3474651488 120.617645893 16.2939650045 18.073692991 71.1202385925 16.2627107768 12.0453173494 16.8100228985 9.15652817888 16.1073076346 21.0872947493 10.0782354548 36.2974911726 25.4300887454 7.31127650729 48.5101403604
48.0 2.99169345494 6.34986280443 6.28781296936 24.0321952997 13.1984957014 22.5243347829 31.9467783163 31.1044417747 9.76402098516 29.1002474771 115.588612342 15.6202854043 17.3443998662 68.1373442329 15.6040695867 11.557493415 16.1178575754 8.78964530339 15.460098344 20.2278559002 9.66605236658 34.7973685122 24.5413456807 7.01711739768 46.583694877
49.0 2.87092510123 6.09441477763 6.03675311563 23.0510699772 12.6724839248 21.6522294139 30.6522981635 29.8672475253 9.36675266815 27.928226528 110.870059405 14.9861667852 16.6568325985 65.3383271493 14.9836307838 11.0977565289 15.4671266763 8.44322022154 14.8509204664 19.4187839125 9.27782905511 33.3877027709 23.6987052364 6.73956215731 44.7705905639
50.0 2.7570409302 5.85331095348 5.79979275245 22.1276931873 12.1760126891 20.8294385866 29.4327760273 28.7017085588 8.99194749785 26.8254575759 106.437085817 14.3885665945 16.007853547 62.7085068917 14.3984783834 10.6639786944 14.8545832504 8.11575066829 14.2768243672 18.6562013947 8.91173462683 32.0613604518 22.8989245646 6.47737400876 43.0620526766
51.0 2.64952478736 5.62549385285 5.57588847816 21.257621199 11.7069021124 20.0522780322 28.2825443651 27.6023931747 8.6379460664 25.7865735894 102.267224115 13.8247314162 15.3946178303 60.2346291033 13.8459721798 10.2542320171 14.2772931754 7.80587226718 13.7351433635 17.9365998482 8.56611164135 30.8118986941 22.1390494241 6.22943123225 41.4501431914
52.0 2.54790859338 5.41000301119 5.36409310323 20.4368308218 11.2631721723 19.3174045049 27.1964631407 26.564375907 8.30324098238 24.806719013 98.3401619043 13.2921643813 14.8145408142 57.9047033347 13.3237167629 9.86676631473 13.7325995838 7.51234336414 13.2234615595 17.256798063 8.23945657631 29.6334864514 21.4163832356 5.99471436021 39.9276665597
53.0 2.45176701154 5.20596435355 5.16354505731 19.6616724006 10.843020867 18.6217783101 26.1698617548 25.5831818171 7.98646028017 23.8814922503 94.6374995398 12.7885968097 14.2652697688 55.7078618894 12.8295345471 9.49998961825 13.21809193 7.23403179723 12.7395858872 16.6139059135 7.93040283014 28.5208359811 20.7284599992 5.77229502317 38.4880876458
54.0 2.36071279817 5.0125809164 4.97345914588 18.928828843 10.4448051357 17.9626305771 25.198488324 24.6547378237 7.68635292264 23.0068955662 91.1425389081 12.3119634629 13.744659092 53.6342366512 12.3614422277 9.15245114394 12.7315790187 6.9699033223 12.2815217354 16.0052927663 7.6377058905 27.469143129 20.073020526 5.56132620607 37.1254600799
55.0 2.27439273752 4.82912472309 4.79311846193 18.2352798074 10.0670241433 17.3374345984 24.2784652622 23.7753300699 7.40177609865 22.1792913307 87.8400988346 11.8603808898 13.2507485909 51.6748513302 11.9176301726 8.82282638243 12.2710654234 6.71901145978 11.8474516454 15.4285598375 7.36023035727 26.4740351428 19.4479915237 5.36103371313 35.8343635374
56.0 2.19248407801 4.6549296508 4.62186728964 17.5782703213 9.70830459853 16.7438806655 23.4062502822 22.941566485 7.13168406413 21.3953637052 84.7163533615 11.4321284299 12.7817443972 49.8215269665 11.4964443367 8.50990400741 11.8347308165 6.48048856446 11.4357166417 14.8815159419 7.09693855816 25.5315249458 18.8514671466 5.17070867139 34.609848696
57.0 2.11469139996 4.48938515191 4.45910486223 16.9552832132 9.36738782613 16.179853921 22.5786020731 22.1503438299 6.87511831446 20.6520850072 81.7586897224 11.0256315055 12.3360021519 48.0667988663 11.0963703509 8.21257435317 11.4209118064 6.25353795137 11.0447998279 14.3621561671 6.84688053623 24.6379709735 18.2816926801 4.98970092985 33.4473888115
58.0 2.0407438558 4.33193071395 4.30427985769 16.3640148358 9.04311835557 15.6434148183 21.7925500203 21.3988186197 6.63119890852 19.9466861135 78.955583326 10.6394468916 11.9120121584 46.4038434215 10.7160194889 7.92981924837 11.0280859396 6.03742693592 10.6733119404 13.868643072 6.60918522264 23.7900418116 17.7370500789 4.81741323282 32.3428370172
59.0 1.97039273263 4.18205095976 4.15688553359 15.8023536397 8.73443382494 15.1327818421 21.0453674332 20.6843814126 6.39911679167 19.2766303552 76.2964874668 10.2722497 11.508386239 44.8264134938 10.3541162635 7.66070302563 10.6548575771 5.83148066768 10.3199785935 13.3992900746 6.3830526359 22.9846849898 17.2160451193 4.6532960646 31.2923885855
60.0 1.90340929462 4.03927130405 4.01645541694 15.2683612188 8.44035602874 14.6463161956 20.3345478214 20.0046340241 6.17812698729 18.6395904413 73.7717358165 9.92282185161 11.1238460773 43.3287812425 10.009487437 7.40436455301 10.2999453983 5.63507665531 9.98362899609 12.95254674 6.16774697292 22.2190993824 16.7172959605 4.49684307772 30.2925475012
