magnification abell383 abell1423 abell209 abell2261 abell611 clj1226 macs0329 macs0416 macs0429 macs0647 macs0717 macs0744 macs1115 macs1149 macs1206 macs1311 macs1423 macs1720 macs1931 macs2129 ms2137 rxj1347 rxj1532 rxj2129 rxj2248
21.0 18.0880151573 37.4816093511 36.6187154973 151.503614379 76.2425954017 124.216303934 192.154009276 186.01945525 57.6930998052 181.490540906 744.355281116 93.4553138335 98.8769136983 462.843473433 90.9924153953 66.9010171483 99.0791890296 48.9834601938 92.3140577286 122.704229537 57.6998196747 219.02098383 112.078595937 39.8330551542 272.033067315
22.0 16.5262223676 34.3419702644 33.5145418305 138.134433962 69.8857487323 113.721779815 175.599342475 170.214382939 52.8520296624 165.279399578 677.525203259 85.3550208941 90.6734402103 422.523063275 83.268538353 61.2627611723 90.3869206589 45.0359197201 84.2970507657 112.231691824 52.7674161569 199.709281312 103.951700871 36.5415762772 248.831561134
23.0 15.1630451255 31.5909197928 30.8002187437 126.468910317 64.3125159685 104.53254629 161.101571886 156.351920409 48.6056666893 151.159462432 619.231925095 78.2750724731 83.4741327987 387.165935449 76.5086222852 56.3231003335 82.7984758055 41.5630087562 77.30200798 103.061656968 48.454045163 182.855425897 96.7496725217 33.6558364392 228.522111885
24.0 13.9654406577 29.1650816036 28.411355363 116.227382888 59.395982153 96.437438145 148.33051691 144.124163451 44.8580656723 138.784516716 568.095075513 72.0485321905 77.1178074395 355.997284726 70.5556431319 51.9686801742 76.133422122 38.4888389064 71.1600282204 94.9832812403 44.6582061846 168.057594207 90.3305153913 31.1096620838 210.639820245
25.0 12.9070501081 27.013714981 26.2965325973 107.185574373 55.0343183982 89.266718469 137.020137822 133.282183794 41.5321938993 127.877293016 523.000514799 66.5415880479 71.4748353648 328.386997307 65.2836664491 48.1085572782 70.2468846723 35.7524415363 65.7359707042 87.8271793101 41.2986379602 154.993065433 84.5791941959 28.8500921848 194.809956604
26.0 11.9666278995 25.0957779777 24.4142620441 99.1618933473 51.1450045521 82.8826404901 126.954073601 123.622926362 38.5655831606 118.213604568 483.041304162 61.6459200445 66.439944778 303.818499468 60.5906917223 44.6690408284 65.021436869 33.3043361477 60.9206361276 81.455946691 38.3096266784 143.40021314 79.401623325 26.83430133 180.727708823
27.0 11.1268871302 23.377761797 22.730749379 92.0080141037 47.6605551487 77.1724347395 117.95485847 114.979390114 35.9071119543 109.610588395 447.47334807 57.273051058 61.9268785089 281.865143737 56.3933551349 41.5898751429 60.3610730238 31.1039925316 56.6249867285 75.7571278102 35.6375412783 133.065109898 74.7201780678 25.0273325036 168.143053352
28.0 10.3736393786 21.8320725185 21.2182271966 85.6018003218 44.5253161252 72.0430329244 109.875782817 107.213182764 33.5145928955 101.917878899 415.681694857 53.3501117643 57.8643782514 262.172120606 52.622957474 38.8213778128 56.1866728697 29.1179289713 52.7758186731 70.6379321367 33.2382413283 123.811441198 70.4703000166 23.4004040189 156.849318601
29.0 9.69514593067 20.4358069906 19.8536969215 79.8419281746 41.693035222 67.417052637 102.594680768 100.208814128 31.3529420765 95.0109066761 387.154673497 49.8166280669 54.1931304276 244.442467965 49.2224503498 36.3222685855 52.4325499986 27.3182697114 49.3124835607 66.0212173361 31.0751143569 115.492825538 66.5979001807 21.9296296049 146.674444326
30.0 9.08162290031 19.1698164222 18.6179685863 74.6437573219 39.1249988188 63.2297090855 96.0091390056 93.8692781937 29.3927746123 88.785757004 361.463856503 46.6220575803 50.8634181999 228.426152144 46.1441245278 34.058004138 49.043797639 25.6816385051 46.1843776589 61.8424026759 29.1175732887 107.98690581 63.0573511364 20.5950398337 137.474233552
31.0 8.52485977173 18.0179825808 17.4949202325 69.9361289863 36.7885885438 59.4264164406 90.0327660992 88.1126010414 27.6093161208 83.1551863521 338.248399768 43.7238814597 47.8332982515 213.911474453 43.3478188825 31.9994878623 45.9742277686 24.1883011438 43.3489997109 58.0470735762 27.3398943203 101.190759643 59.8099192783 19.3798260928 129.127093714
32.0 8.01792250675 16.9666529177 16.4709211277 65.6588602828 34.6561524878 55.9609077819 84.5922616349 82.8691201529 25.9815510666 78.0455079947 317.202702659 41.0861125625 45.0671718849 200.718254792 40.799519716 30.12206078 43.1847564991 22.821494561 40.7704345144 54.5891053399 25.7203095561 95.0173023557 56.8225294997 18.2697508164 121.529902447
33.0 7.55492037942 16.0041957663 15.534378491 61.760766737 32.7041146803 52.7937489952 79.625094511 78.0793228578 24.4915505506 73.394136481 298.066609644 38.6781189614 42.534655471 188.692385083 38.4702558144 28.4047054089 40.6421284762 21.5668972324 38.4181586356 51.4291808872 24.2402922927 89.3924443295 54.0667835291 17.2526832589 114.594730972
34.0 7.13082131679 15.1206471599 14.6753782726 58.1980892758 30.9122667716 49.8911547537 75.0776495071 73.6921160864 23.1239373808 69.1476362599 280.617573965 36.4736886252 40.2096803394 177.701447222 36.3352197214 26.8294125088 38.3179012156 20.412207642 36.2660921989 48.5336103607 22.883989413 84.2528270822 51.5181736501 16.3182310172 108.246227376
35.0 6.74130450428 14.3074282087 13.8853982271 54.9332336788 29.2632003247 47.2240381842 70.9037369294 69.6634316053 21.8654571235 65.2601594727 264.664348041 34.4502801991 38.069770103 167.631164645 34.3730636103 25.380673539 36.1876304763 19.3468061605 34.2918403409 45.8733840733 21.6377671429 79.5440070919 49.1554482496 15.4574452564 102.41951195
36.0 6.38264186981 13.5571172862 13.157077042 51.9337534024 27.7418485414 44.767242796 67.0633860469 65.9550942524 20.7046316701 61.6921866176 250.041870807 32.588418597 36.0954563485 158.382511383 32.5653310542 24.045070965 34.2302123875 18.3614818645 32.4760820831 43.4234073355 20.4898449113 75.2189888549 46.9600963242 14.6625831666 97.0584730444
37.0 6.05160213061 12.8632651398 12.4840272848 49.1715234293 26.3351138389 42.4989176676 63.5218620323 62.5338978723 19.6314775626 58.4095047496 236.607100055 30.8712041719 34.2698030764 149.869343232 30.8959954079 22.8109453338 32.4273487329 17.4482103213 30.8020746885 41.1618781586 19.4299982322 71.2370324132 44.9159259139 13.9269152207 92.1143785189
38.0 5.74537260364 12.220243871 11.8606828686 46.6220651474 25.0315632815 40.4000060509 60.2488601861 59.3708464165 18.6372755266 55.3823733198 224.235595838 29.2839116256 32.5780172427 142.016446174 29.3510824471 21.6681230284 30.7631096954 16.5999716771 29.2552491609 39.0697780175 18.4493160665 67.562678134 43.0087172388 13.2445677731 87.5447376351
39.0 5.46149510203 11.6231228334 11.2821739054 44.2639914528 23.8211780212 38.4538243845 57.2178417233 56.4405272442 17.7143807766 52.5848392565 212.818704557 27.813660318 31.0071279448 134.757920273 27.9183600653 20.6076923216 29.2235742471 15.8106008426 27.8228781742 37.1304527007 17.5400014891 64.1649446108 41.2259356558 12.6103937376 83.3123629876
40.0 5.19781307746 11.0675660706 10.744223438 42.0785481739 22.6951460134 36.6457138401 54.4054833215 53.7205908921 16.8560660082 49.9941715105 202.261226341 26.4491417599 29.5457206938 128.035834864 26.5870816902 19.6218181294 27.7965327959 15.0746634132 26.4938019432 35.3292654103 16.6952070093 61.0166653986 39.5564928278 12.0198657241 79.384593226
41.0 4.95242779866 10.5497470953 10.2430617618 40.0492331366 21.6456896246 34.962750416 51.7912186323 51.1913170916 16.0563907521 47.590391813 192.479473439 25.180393185 28.1837161642 121.799104287 25.3477730033 18.7035879669 26.4712400505 14.3873523545 25.2582007325 33.6533081617 15.9088977954 58.0939377542 37.9905469863 11.4689872579 75.7326457771
42.0 4.72366183439 10.0662777191 9.77535497463 38.1614781759 20.665921538 33.3935025609 49.3568545593 48.8352510372 15.3100921216 45.3558833666 183.399646683 23.9986084757 26.9121850657 116.002543887 24.1920537706 17.8468832104 25.2382086257 13.74440154 24.107405127 32.0911605045 15.175737503 55.3756622549 36.5193350757 10.9542186411 72.3310752651
43.0 4.51002847516 9.61414832789 9.33814510094 36.4023824581 19.7497237411 31.9278275967 47.0862486488 46.6368971803 14.6124930147 43.2750630076 174.956472004 22.8959795338 25.7231925161 110.606074023 23.1124883018 17.0462709975 24.0890358771 13.1420130478 23.0337370461 30.6326868609 14.4909925153 52.8431565471 35.1350310411 10.4724147441 69.1573183244
44.0 4.31020600955 9.19067753314 8.92879968393 34.760487848 18.8916454387 30.5566999746 44.9650366862 44.5824603581 13.9594246352 41.3341053323 167.092050583 21.8655625997 24.6096666311 105.574046234 22.1024593753 16.2969130504 23.0162579811 12.576795747 22.030375922 29.2688655469 13.8504512632 50.4798298796 33.8306256638 10.0207725637 66.191309385
45.0 4.1230159894 8.7934695421 8.54496916166 33.2255888975 18.0868165628 29.2720657821 42.9804017386 42.6596260625 13.347160819 39.5207095725 159.75488533 20.9011651159 23.5652870939 100.874670612 21.1560614942 15.5944884427 22.0132264599 12.0457131979 21.0912455779 27.9916439155 13.2503559577 48.2709077154 32.5998242458 9.59678682455 63.4151550393
46.0 3.94740478872 8.42037791471 8.18455067474 31.7885714777 17.3308741976 28.0667189965 41.1208775712 40.8573732136 12.772362141 37.8239018091 152.89905354 19.9972495912 22.5843902892 96.4795274364 20.2680101429 14.9351279124 21.0740032856 11.546039271 20.2109182144 26.7938151381 12.6873445878 46.2031977979 31.4369591458 9.19821223175 60.8128569861
47.0 3.78242789495 8.06947462863 7.84565721309 30.4412752137 16.619899748 26.9341958332 39.3761806962 39.165814047 12.2320281608 36.233866525 146.483501226 19.1488515944 21.6618882271 92.3631492012 19.4335643476 14.3153577786 20.1932714307 11.0753201942 19.3845326028 25.6689129917 12.1584014485 44.2648906816 30.3369147316 8.82303125222 58.3700754299
48.0 3.62723647703 7.73902357601 7.5265912142 29.1763757856 15.9503650854 25.8686842182 37.737066372 37.5760567107 11.7234564713 34.7418026228 140.471439172 18.351509545 20.7931990022 88.5026617171 18.6484603473 13.7320518807 19.3662583151 10.6313419759 18.6077241232 24.6111216936 11.6608147873 42.4453890379 29.2950627528 8.46942651136 56.0739263132
